id;code;date;details;status;payment_amount
1;Texas Focused;2021-08-16T13:47:17;Loop;CANCELLED;94315
2;Down-sized connect;2021-08-16T06:05:38;Australia reboot program;CANCELLED;28730
3;Marketing online Soft;2021-08-15T23:47:09;Florida Checking;PAID;68011
4;lime Synergized;2021-08-16T03:07:02;Horizontal web Handcrafted;CANCELLED;13687
5;synergy transmitting;2021-08-16T00:35:21;parse Gloves;ISSUED;69970
6;Dynamic iterate;2021-08-16T20:59:46;HTTP;ISSUED;20615
7;Awesome;2021-08-15T23:04:04;structure;ISSUED;34241
8;Garden Analyst Agent;2021-08-16T19:49:54;Awesome Salad compressing;ISSUED;66616
9;auxiliary;2021-08-16T00:03:34;bypassing transitional Toys;ISSUED;62169
10;Pants Wooden Intuitive;2021-08-16T11:22:33;array Arizona Vermont;CANCELLED;42722
