id;name;description;quantity_per_package;price;image;image_content_type;stock
1;Steel;Assistant;57374;81236;../fake-data/blob/hipster.png;image/png;38757
2;Principal;wireless Computer;89830;76808;../fake-data/blob/hipster.png;image/png;92572
3;magenta THX;THX;93728;44573;../fake-data/blob/hipster.png;image/png;6255
4;Metal;models partnerships Infrastructure;91058;85179;../fake-data/blob/hipster.png;image/png;82822
5;New;green Malagasy;32770;54278;../fake-data/blob/hipster.png;image/png;48018
6;neutral;Bike;78661;16911;../fake-data/blob/hipster.png;image/png;11502
7;CFP orange;Village;95487;35518;../fake-data/blob/hipster.png;image/png;58781
8;indigo JSON Mexico;Steel;15779;40746;../fake-data/blob/hipster.png;image/png;27546
9;homogeneous Crossroad;Chips De-engineered Tunnel;5902;8723;../fake-data/blob/hipster.png;image/png;20319
10;SMS;methodical;83666;68319;../fake-data/blob/hipster.png;image/png;16934
